xr,yr,score,Living,Kitchen,Bathroom,Bedroom
8.100000000000001,7.099999999999999,115.23983204887188,26.514382713451997,4.843663550138463,21.33172350048053,38.133850714247096
8.100000000000001,7.249999999999998,85.95734877722118,26.753545125936316,12.213197567147194,22.24459737507006,33.472879434772246
8.100000000000001,7.299999999999998,72.76275719217932,26.251624581172056,11.753497960627108,22.311354341417644,30.956791471309977
8.100000000000001,7.199999999999998,98.12581854253034,26.96484025856249,11.376922254861938,21.636885617111197,35.570223075215004
8.100000000000001,7.349999999999998,61.55116825783749,25.47393095853687,9.877454047774881,21.56319734701482,28.84374212773356
8.150000000000002,6.7,89.40836480757875,19.707644674781385,-0.25126934791777594,23.16053130558371,36.174884251800485
8.150000000000002,6.75,93.37058367307272,20.216180105882575,4.313617244910107,23.44458302134718,36.4705554318933
8.100000000000001,7.399999999999998,54.557499218594764,24.46346497803068,6.5006275499167545,19.8869056905418,28.251107296995478
8.150000000000002,6.85,112.59411193864418,22.18209399904979,8.736754405256518,24.750596681980895,38.03183093680951
8.150000000000002,6.8999999999999995,122.94212467841899,23.324030492196933,8.437402160357157,24.939223217516794,38.887622550939426
8.150000000000002,6.8,101.74401007627287,21.09553357662227,7.481727462256381,24.14093828713343,37.137615551081176
8.150000000000002,6.999999999999999,132.83609084096372,25.358769684866157,4.630913349538497,23.67341173410848,39.765382715311645
8.150000000000002,6.949999999999999,130.1262342517447,24.408610691819828,6.721367796569895,24.57022142747105,39.50142209030429
8.150000000000002,7.049999999999999,131.16250279818146,26.12312333432734,4.687106212462679,22.548095649826834,39.62734789532244
8.150000000000002,7.099999999999999,126.16117061418186,26.66713769175036,7.598087143767138,21.95242568762793,39.05554498085308
8.150000000000002,7.149999999999999,118.70894743752424,26.966980312012964,10.62673234161638,22.53695770903558,38.019976393050435
8.150000000000002,7.249999999999998,95.52112727079427,26.7742137744149,12.734293002314034,24.42261280815263,34.442303726403395
8.150000000000002,7.299999999999998,81.08796878076501,26.270361033502333,11.962482553083012,24.425086452430254,32.018748409744376
8.150000000000002,7.199999999999998,108.50484556954751,27.006052002268184,12.294535381538676,23.66325815012997,36.48738584087451
8.150000000000002,7.399999999999998,59.62620139735576,24.539130302907914,6.476267805583306,21.54406079838263,29.160413653090735
8.200000000000003,6.7,93.49355073201968,21.567821630956267,2.4962190105110253,23.081861066800403,36.38077773627836
8.150000000000002,7.349999999999998,68.27463189062117,25.50994478661035,9.79257061193546,23.500839463086777,29.92893521049338
8.200000000000003,6.75,98.44365337728004,21.585161892200485,5.2462056960034875,24.048301594570724,36.7359494348394
8.200000000000003,6.8,107.6985516142208,21.81050278427373,7.499778772626185,25.15353430264943,37.4907661387293
8.200000000000003,6.8999999999999995,128.5943962312528,22.900348400544182,8.027961888283274,25.89995989570874,39.31212614032241
8.200000000000003,6.85,118.79335613650068,22.260564067240608,8.397207586083441,25.84677321188601,38.44283408271148
8.200000000000003,6.949999999999999,134.68362391068882,23.6489367099607,6.8493264465244845,25.243075814098695,39.910492482188445
8.200000000000003,7.099999999999999,127.97539502584218,25.57095029576558,9.367046815795442,22.33376632908363,39.366104329384555
8.200000000000003,7.049999999999999,133.2748193584768,25.06978154545177,6.908232037893165,22.56639410030024,39.973541918548825
8.200000000000003,6.999999999999999,136.0699903731179,24.404115717635463,6.049367146126862,23.95657223553536,40.14554211272613
8.200000000000003,7.199999999999998,110.78842971028915,25.88773689783892,12.900896319079918,25.166752781308247,36.71994410081649
8.200000000000003,7.249999999999998,97.56970442699324,25.64795628251224,13.091337525224127,26.03132993763959,34.62707255861647
8.200000000000003,7.149999999999999,120.82759107929544,25.855147395984027,11.643471129228221,23.649232141675327,38.29345589404688
8.200000000000003,7.299999999999998,82.68014341570759,25.129553132350928,12.139453749738799,26.0118780779384,32.171524603124155
8.200000000000003,7.349999999999998,69.6484437724772,24.349390918728044,9.830976328776295,24.993623932818217,30.178108066948532
8.200000000000003,7.399999999999998,61.20336289607427,23.367366239398883,6.692395683501059,22.85528087837173,29.661740359851407
8.250000000000004,6.7,88.84885345648411,21.907163619942946,4.837513932548903,22.768120257762572,35.69161060750963
8.250000000000004,6.8,104.29931341571331,21.05728641171442,7.859619751522226,25.812729619157988,37.02592842253792
8.250000000000004,6.85,115.56886993671878,20.77784175588489,8.591184816124368,26.580152987183506,38.128036457542876
8.250000000000004,6.75,94.37693764700836,21.475855855926895,6.278340956847215,24.37741308244872,36.11163469640777
8.250000000000004,6.949999999999999,129.9827872112908,21.11208836618081,7.772037877863389,25.662376136343894,39.733474825828
8.250000000000004,6.8999999999999995,124.87458715075407,20.77507145941759,8.402147212734508,26.545697138823865,39.09101836228356
8.250000000000004,7.049999999999999,126.52912003453827,22.39529874293831,8.446223516309056,22.306090826948818,39.79509692459631
